PING 192.168.1.6 (192.168.1.6) 56(84) bytes of data.
64 bytes from 192.168.1.6: icmp_seq=83 ttl=64 time=24.1 ms
64 bytes from 192.168.1.6: icmp_seq=84 ttl=64 time=213 ms
64 bytes from 192.168.1.6: icmp_seq=85 ttl=64 time=106 ms
64 bytes from 192.168.1.6: icmp_seq=86 ttl=64 time=4.18 ms
64 bytes from 192.168.1.6: icmp_seq=87 ttl=64 time=18.8 ms
64 bytes from 192.168.1.6: icmp_seq=88 ttl=64 time=34.9 ms
64 bytes from 192.168.1.6: icmp_seq=89 ttl=64 time=35.8 ms
64 bytes from 192.168.1.6: icmp_seq=90 ttl=64 time=117 ms
64 bytes from 192.168.1.6: icmp_seq=91 ttl=64 time=10.9 ms
64 bytes from 192.168.1.6: icmp_seq=92 ttl=64 time=24.0 ms
64 bytes from 192.168.1.6: icmp_seq=93 ttl=64 time=46.7 ms
64 bytes from 192.168.1.6: icmp_seq=94 ttl=64 time=39.4 ms
64 bytes from 192.168.1.6: icmp_seq=95 ttl=64 time=102 ms
64 bytes from 192.168.1.6: icmp_seq=96 ttl=64 time=8.71 ms
64 bytes from 192.168.1.6: icmp_seq=97 ttl=64 time=33.1 ms
64 bytes from 192.168.1.6: icmp_seq=98 ttl=64 time=55.8 ms
64 bytes from 192.168.1.6: icmp_seq=99 ttl=64 time=37.7 ms
64 bytes from 192.168.1.6: icmp_seq=100 ttl=64 time=99.2 ms

--- 192.168.1.6 ping statistics ---
100 packets transmitted, 99 received, 1% packet loss, time 99148ms
rtt min/avg/max/mdev = 2.814/63.053/213.357/54.294 ms
